turns,max_tiles,min_tiles,piece_distributions
102,6,-4,"{0: 326, -2: 68, -4: 14, 2: 163, 4: 115, 8: 100, 16: 55, 32: 26, 64: 51}"
253,7,-2,"{0: 759, 2: 365, 4: 229, -2: 213, 8: 212, -4: 33, 16: 121, 32: 117, 64: 95, -8: 43, 128: 90}"
219,7,-4,"{0: 546, 2: 346, -2: 133, 4: 306, 8: 169, 16: 174, -4: 25, 32: 114, 64: 91, 128: 67}"
166,6,-4,"{0: 504, 2: 211, -2: 139, 4: 154, -4: 24, 8: 143, 16: 135, 32: 102, 64: 82}"
127,6,-4,"{0: 445, 2: 186, 4: 113, -2: 75, 8: 110, -4: 13, 16: 80, 32: 71, 64: 50}"
212,7,2,"{0: 654, 2: 295, 4: 212, 8: 130, -2: 187, 16: 132, 32: 111, -4: 31, 64: 88, 128: 68}"
126,6,2,"{0: 419, 2: 186, 4: 147, -2: 92, 8: 127, -4: 4, 16: 76, 32: 39, 64: 44}"
277,7,2,"{0: 674, 2: 443, -2: 192, 4: 278, -4: 55, 8: 263, 16: 212, 32: 100, 64: 141, 128: 135}"
49,5,2,"{2: 87, 0: 195, -2: 17, 4: 52, 8: 31, 16: 37, 32: 22}"
142,6,2,"{0: 465, 2: 212, 4: 143, -2: 88, 8: 78, -4: 13, 16: 97, 32: 98, 64: 84}"
225,7,2,"{0: 784, 2: 307, -2: 161, -4: 33, 4: 192, 8: 180, 16: 112, 32: 106, 64: 97, 128: 53}"
120,6,2,"{0: 421, 2: 200, -2: 76, 4: 122, 8: 96, 16: 54, 32: 58, -4: 7, 64: 46}"
157,6,-2,"{0: 540, -2: 125, 2: 246, 4: 140, 8: 117, 16: 69, -4: 16, 32: 88, 64: 72}"
95,5,-4,"{-2: 88, 0: 400, 2: 119, -4: 11, 4: 98, 8: 56, 16: 37, 32: 46}"
77,5,2,"{0: 302, -2: 54, 2: 100, -4: 9, 4: 87, 8: 52, 16: 55, 32: 34}"
130,6,-2,"{0: 376, 2: 186, 4: 152, 8: 142, 16: 67, -2: 87, -4: 12, 32: 93, 64: 55}"
130,6,-2,"{0: 459, 2: 198, 4: 132, -2: 84, 8: 89, 16: 80, 32: 63, -4: 5, 64: 60}"
115,6,-2,"{0: 423, 4: 125, -2: 98, 2: 145, -4: 25, 8: 85, -8: 3, 16: 71, 32: 30, 64: 30}"
151,6,-4,"{-2: 132, 4: 189, 0: 473, 2: 197, 8: 126, -4: 23, 16: 80, 32: 87, 64: 52}"
228,7,-4,"{2: 317, 0: 681, -2: 187, 4: 205, 8: 213, 16: 138, -4: 45, 32: 108, 64: 81, -8: 1, 128: 76}"
125,6,-2,"{0: 408, 2: 180, 4: 137, -2: 73, 8: 99, 16: 82, 32: 80, -4: 2, 64: 64}"
85,6,2,"{2: 133, 4: 132, 0: 298, -2: 39, 8: 57, 16: 37, 32: 27, -4: 3, 64: 39}"
138,6,-2,"{0: 418, 2: 199, -2: 109, -4: 35, 4: 151, 8: 126, 16: 103, 32: 74, 64: 27}"
130,6,-2,"{0: 390, 4: 125, -2: 88, 2: 224, 8: 104, -4: 19, 16: 84, 32: 76, 64: 60}"
186,7,-2,"{0: 478, -2: 93, -4: 33, 2: 299, 4: 235, 8: 211, 16: 98, 32: 84, 64: 77, 128: 66}"
107,6,-2,"{0: 345, -2: 61, 2: 142, 4: 123, -4: 2, 8: 105, 16: 97, 32: 54, 64: 34}"
183,7,2,"{0: 524, 2: 275, 4: 213, 8: 157, -2: 138, 16: 117, 32: 73, 64: 89, -4: 20, 128: 41}"
226,7,-4,"{0: 716, -2: 154, 2: 320, -4: 35, 4: 220, 8: 164, 16: 118, 32: 126, 64: 109, 128: 72}"
138,6,2,"{0: 416, 2: 200, -2: 90, 4: 173, 8: 150, -4: 7, 16: 78, 32: 79, 64: 49}"
215,7,-4,"{0: 621, 2: 289, -2: 164, 4: 216, 8: 147, 16: 209, -4: 37, 32: 72, 64: 96, 128: 69, -8: 15}"
120,6,-4,"{2: 185, 0: 340, -2: 76, 4: 190, 8: 89, -4: 7, 16: 83, 32: 38, 64: 72}"
195,6,-2,"{0: 576, 2: 244, 4: 181, -2: 173, 8: 180, -4: 58, 16: 172, 32: 112, 64: 59}"
138,6,-2,"{0: 507, -2: 120, 2: 164, 4: 116, 8: 128, 16: 90, -4: 24, 32: 56, -8: 2, 64: 35}"
129,6,2,"{0: 359, -2: 90, 2: 196, 4: 150, 8: 135, 16: 85, -4: 14, 32: 75, 64: 57}"
155,7,-4,"{0: 438, 2: 227, 4: 227, 8: 130, -2: 87, -4: 18, 16: 82, 32: 81, 64: 47, 128: 58}"
144,6,-4,"{0: 421, 2: 212, -2: 109, 4: 140, 8: 139, 16: 82, -4: 35, 32: 90, 64: 68}"
125,6,-2,"{0: 444, 2: 192, 4: 124, 8: 81, -2: 71, 16: 88, -4: 5, 32: 76, 64: 44}"
190,7,-2,"{0: 555, 4: 218, 2: 290, 8: 159, -2: 124, 16: 133, 32: 109, -4: 14, 64: 57, 128: 51}"
117,6,2,"{0: 406, 2: 178, 4: 116, -2: 75, 8: 66, 16: 66, 32: 52, -4: 16, 64: 78}"
210,7,-2,"{0: 664, -2: 149, 2: 296, 4: 238, 8: 160, 16: 122, -4: 17, 32: 97, 64: 61, 128: 86}"
212,7,2,"{0: 633, -2: 144, 2: 296, 4: 207, -4: 19, 8: 209, 16: 176, 32: 90, 64: 64, 128: 70}"
84,6,-2,"{2: 144, 0: 282, 4: 113, -2: 34, 8: 72, 16: 56, -4: 1, 32: 39, 64: 15}"
196,7,-2,"{0: 474, 2: 284, 4: 252, -2: 106, 8: 176, 16: 159, 32: 133, 64: 105, -4: 6, 128: 69}"
115,6,-2,"{0: 331, -2: 96, 2: 146, 4: 129, 8: 100, 16: 93, 32: 62, -4: 11, 64: 67}"
114,6,-4,"{0: 421, 2: 177, 4: 139, -2: 79, -4: 3, 8: 84, 16: 38, 32: 54, 64: 31}"
70,5,-2,"{0: 247, -2: 57, 2: 99, 4: 69, 8: 83, 16: 32, 32: 36, -4: 7}"
182,7,2,"{0: 483, 2: 282, 4: 206, -2: 115, 8: 195, 16: 119, 32: 96, -4: 16, 64: 54, 128: 72}"
144,6,-4,"{0: 428, 4: 182, -2: 102, 2: 201, 8: 141, -4: 13, 16: 85, 32: 64, 64: 80}"
200,7,2,"{0: 623, 4: 205, 2: 328, -2: 125, 8: 192, 16: 118, -4: 22, 32: 69, 64: 86, 128: 30, -8: 2}"
226,7,-2,"{0: 465, 2: 347, 4: 344, 8: 194, -2: 137, 16: 194, 32: 137, 64: 84, -4: 29, 128: 103}"
290,7,-2,"{0: 708, 2: 420, -2: 237, 4: 350, 8: 246, -4: 22, 16: 209, 32: 148, 64: 123, 128: 146, -8: 1}"
121,6,2,"{2: 204, 0: 319, -2: 60, 4: 152, 8: 129, 16: 109, 32: 54, -4: 4, 64: 58}"
