turns,max_tiles,min_tiles,piece_distributions
60,5,-2,"{2: 2, 16: 2, 4: 1, 32: 1, 8: 2, -2: 1}"
77,6,-2,"{-2: 1, 4: 3, 2: 2, 64: 1, 16: 1, 8: 1}"
90,5,-4,"{2: 2, 4: 1, -4: 1, 32: 2, 8: 2, -2: 1}"
65,5,-8,"{2: 2, 4: 2, 32: 1, 8: 1, -2: 1, 16: 1, -8: 1}"
98,5,-2,"{2: 3, 4: 3, 32: 1, 16: 1, -2: 1}"
69,5,2,"{2: 3, 4: 3, 16: 1, 8: 1, 32: 1}"
52,4,-4,"{2: 4, 16: 1, -2: 1, -4: 1, 8: 2}"
153,6,-4,"{16: 1, 4: 2, 2: 3, 64: 1, -4: 1, 32: 1}"
43,4,-2,"{-2: 2, 4: 3, 2: 1, 8: 2, 16: 1}"
38,4,-2,"{2: 1, 8: 3, 4: 2, -2: 2, 16: 1}"
67,5,-2,"{-2: 1, 16: 1, 2: 2, 4: 3, 32: 1, 8: 1}"
83,5,2,"{2: 3, 4: 3, 8: 1, 16: 1, 32: 1}"
134,5,-2,"{2: 1, 32: 2, -2: 3, 16: 1, 8: 1, 4: 1}"
81,5,-2,"{2: 2, 4: 2, -2: 2, 8: 1, 16: 1, 32: 1}"
66,4,2,"{2: 2, 8: 3, 4: 3, 16: 1}"
39,4,-2,"{16: 1, 8: 3, 2: 3, 4: 1, -2: 1}"
87,6,-2,"{-2: 2, 16: 1, 2: 3, 64: 1, 8: 2}"
79,5,-2,"{-2: 2, 8: 2, 2: 2, 4: 1, 16: 1, 32: 1}"
47,4,-8,"{-2: 2, 16: 1, -8: 1, 4: 2, 8: 2, 2: 1}"
89,5,-2,"{2: 3, 32: 1, 8: 3, 16: 1, -2: 1}"
113,6,-8,"{-2: 3, 4: 2, -8: 1, 8: 1, 64: 1, -4: 1}"
15,3,-4,"{2: 4, 4: 3, 8: 1, -4: 1}"
51,5,2,"{2: 3, 8: 3, 32: 1, 4: 2}"
96,5,-8,"{8: 1, 2: 3, -8: 1, 4: 1, 16: 1, -4: 1, 32: 1}"
87,6,2,"{2: 3, 4: 3, 64: 1, 8: 1, 16: 1}"
95,6,-2,"{2: 2, 8: 3, -2: 2, 64: 1, 4: 1}"
